doc	sentence
BR-TU.20382	A lógica fuzzy, portanto, é uma lógica multivalores que permite que valores intermediários sejam definidos entre as avaliações convencionais como falso/verdadeiro, sim/não ou branco/preto.
BR-BT.05609	A teoria de conjuntos fuzzy e a lógica fuzzy fornecem o ferramental necessário para a construção de modelos aproximados do mundo real (Mendel, 1995; Ross, 2004) e para lidar com variáveis linguísticas.
BR-BT.04541	A teoria dos conjuntos difusos (fuzzy sets ou sous-ensembles ftous) é um ramo da Matemática (portanto, uma teoria formal e rigorosa) que lida com conceitos imprecisos (DUBOIS & PRA-DE, 1980; KANDEL & BYAT, 1978; KAUFMANN, 1973, 1982; MARTIN-CLOUAIRE & PRADE, 1978; ROMEU, 1986).
BR-TU.12703	Aplicação da Lógica Nebulosa na Determinação de Fácies do Campo de Namorado.
BR-TU.20480	Com base na avaliação da importância relativa de cada critério, atribuída por um grupo de decisores, e no desempenho das linhas de negócio em cada um dos critérios, foi aplicado método fuzzy TOPSIS para análise e ordenação das linhas de negócio.
BR-BP.03776	Com o uso desta ferramenta foi possível identificar situações nas quais a hipótese da condutividade infinita é válida, como no campo de Jubarte, e os casos onde esta consideração implica em grandes desvios, como no campo de Marlim.
BR-TU.21888	Destacado com elipse preta o campo de Marlim leste (MLL), pelos reservatórios do Oligoceno-Mioceno.
BR-BG.04099	Os reservatórios oligocênicos e eocênicos do Campo de Marlim, na Bacia de Campos, são constituídos basicamente de arenitos friáveis, com porosidade em torno de 30%, e excelentes permeabilidades (da ordem de Dardes).
BR-TU.23028	Variação na porosidade e permeabilidade como função da história de soterramento e cimentação.
BR-BG.04237	A descoberta dos campos gigantes de Marlim e Albacora, em águas profundas da Bacia de Campos, não só representou um importante incremento nas reservas de hidrocarbonetos do Brasil, como também encontrou novas facies-reservatório de idade Oligoceno-Miocênica, as quais não haviam sido perfuradas anteriormente.
BR-TU.07271	Com essa estimativa conseguiu-se também simular testes de bombeamento, seus respectivos cones de rebaixamento, bem como a interferência causada entre cones de rebaixamento.
BR-TU.19578	O autor cita o caso de poços no bairro do Brás apresentando quedas de vazão e supõe haver interferências ou mesmo limonitização de filtros.
BR-TU.20444	Nestes testes também é possível obter estimativas de permeabilidade da formação, além da possibilidade de identificação de limites verticais para as camadas de reservatório interpretadas através de testes de interferência vertical.
